,confirmed,deaths
2020-03-02,1.7484008528784646e-06,0.0
2020-03-03,3.7953091684434964e-06,0.0
2020-03-04,6.055437100213219e-06,0.0
2020-03-05,7.739872068230276e-06,0.0
2020-03-06,9.76545842217484e-06,0.0
2020-03-07,1.3283582089552238e-05,0.0
2020-03-08,1.7569296375266523e-05,0.0
2020-03-09,2.2345415778251597e-05,0.0
2020-03-10,2.805970149253731e-05,0.0
2020-03-11,3.5159914712153515e-05,0.0
2020-03-12,4.6055437100213214e-05,0.0
2020-03-13,5.9083155650319825e-05,0.0
2020-03-14,7.279317697228144e-05,0.0
2020-03-15,8.795309168443496e-05,0.0
2020-03-16,0.00010473347547974413,4.2643923240938164e-08
2020-03-17,0.0001274413646055437,1.0660980810234542e-07
2020-03-18,0.00015187633262260126,2.1321961620469084e-07
2020-03-19,0.0001757142857142857,3.624733475479744e-07
2020-03-20,0.00020215351812366734,5.756929637526653e-07
2020-03-21,0.0002301066098081023,8.742004264392324e-07
2020-03-22,0.0002615565031982942,1.3432835820895522e-06
2020-03-23,0.0002948614072494669,1.9616204690831554e-06
2020-03-24,0.0003263965884861407,2.643923240938166e-06
2020-03-25,0.0003601066098081023,3.47547974413646e-06
2020-03-26,0.00039586353944562894,4.434968017057569e-06
2020-03-27,0.00043394456289978675,5.6289978678038375e-06
2020-03-28,0.0004733475479744136,7.142857142857142e-06
2020-03-29,0.0005198294243070362,8.891257995735607e-06
2020-03-30,0.0005717697228144989,1.0938166311300639e-05
2020-03-31,0.0006271855010660981,1.3390191897654584e-05
2020-04-01,0.00068863539445629,1.624733475479744e-05
2020-04-02,0.0007585714285714285,1.9573560767590617e-05
2020-04-03,0.0008325159914712154,2.3219616204690832e-05
2020-04-04,0.0009126226012793178,2.7164179104477613e-05
2020-04-05,0.0009917057569296375,3.149253731343284e-05
2020-04-06,0.0010765245202558635,3.6204690831556505e-05
2020-04-07,0.0011768230277185501,4.140724946695096e-05
2020-04-08,0.0012814285714285714,4.695095948827292e-05
2020-04-09,0.0013905330490405117,5.3091684434968015e-05
2020-04-10,0.0015095522388059702,5.989339019189765e-05
2020-04-11,0.0016371641791044775,6.71002132196162e-05
2020-04-12,0.001777910447761194,7.511727078891258e-05
2020-04-13,0.0019228784648187632,8.373134328358209e-05
2020-04-14,0.002065415778251599,9.287846481876333e-05
2020-04-15,0.0022152452025586355,0.00010287846481876333
2020-04-16,0.0023660341151385926,0.00011377398720682303
2020-04-17,0.002542004264392324,0.0001259275053304904
2020-04-18,0.002719488272921109,0.0001390405117270789
2020-04-19,0.0028988912579957357,0.0001533049040511727
2020-04-20,0.0030833049040511727,0.00016863539445628997
2020-04-21,0.003273049040511727,0.00018526652452025585
2020-04-22,0.003466460554371002,0.00020321961620469082
2020-04-23,0.0036609808102345412,0.00022249466950959487
2020-04-24,0.0038365671641791043,0.00024223880597014924
2020-04-25,0.004015948827292111,0.0002637100213219616
2020-04-26,0.0041897014925373136,0.00028628997867803836
2020-04-27,0.004372174840085288,0.00031063965884861404
2020-04-28,0.00457042643923241,0.0003356076759061833
2020-04-29,0.004764371002132196,0.0003614712153518123
2020-04-30,0.004955394456289979,0.0003879957356076759
2020-05-01,0.005146034115138593,0.00041558635394456286
2020-05-02,0.005345756929637527,0.00044373134328358206
2020-05-03,0.005544200426439233,0.00047313432835820895
2020-05-04,0.0057281663113006405,0.0005024946695095949
2020-05-05,0.005891641791044777,0.000532814498933902
2020-05-06,0.006048720682302773,0.0005632622601279318
2020-05-07,0.006219850746268658,0.0005936460554371002
2020-05-08,0.00638313432835821,0.0006236247334754797
2020-05-09,0.006529424307036249,0.0006534328358208955
2020-05-10,0.0066722174840085306,0.0006814498933901919
2020-05-11,0.006811002132196164,0.0007090405117270789
2020-05-12,0.006951172707889128,0.000735543710021322
2020-05-13,0.0070900213219616225,0.0007610874200426439
2020-05-14,0.007209978678038381,0.0007859275053304904
2020-05-15,0.007325714285714288,0.0008101918976545843
2020-05-16,0.007437782515991473,0.0008333049040511728
2020-05-17,0.007554712153518125,0.0008553731343283583
2020-05-18,0.007671428571428573,0.0008766524520255865
2020-05-19,0.007781130063965886,0.0008977825159914713
2020-05-20,0.0078863539445629,0.0009185287846481877
2020-05-21,0.007985586353944564,0.0009384434968017059
2020-05-22,0.008085970149253732,0.0009581023454157784
2020-05-23,0.008185031982942431,0.000976631130063966
2020-05-24,0.008277782515991471,0.000995309168443497
2020-05-25,0.008367889125799574,0.0010133475479744138
2020-05-26,0.008456162046908315,0.0010308742004264393
2020-05-27,0.008543667377398721,0.0010473987206823028
2020-05-28,0.008629808102345416,0.0010634115138592752
2020-05-29,0.008720533049040512,0.001078486140724947
2020-05-30,0.008809360341151385,0.0010933262260127935
2020-05-31,0.008895138592750533,0.0011076972281449896
2020-06-01,0.008978081023454158,0.00112181236673774
2020-06-02,0.009055607675906184,0.0011351812366737742
2020-06-03,0.009136183368869937,0.0011485714285714287
2020-06-04,0.009217611940298508,0.0011613432835820897
2020-06-05,0.009288486140724948,0.001173859275053305
2020-06-06,0.009357057569296376,0.0011861620469083157
2020-06-07,0.009432942430703625,0.0011979317697228147
2020-06-08,0.009505181236673774,0.001209040511727079
2020-06-09,0.009574946695095949,0.0012195522388059703
2020-06-10,0.009639189765458422,0.001229445628997868
2020-06-11,0.009701407249466951,0.0012391044776119404
2020-06-12,0.009766503198294243,0.0012483368869936036
2020-06-13,0.00983132196162047,0.0012574413646055439
2020-06-14,0.009882985074626866,0.001266311300639659
2020-06-15,0.0099354157782516,0.0012748400852878466
2020-06-16,0.009987718550106611,0.0012833688699360342
2020-06-17,0.010041876332622603,0.0012915991471215353
2020-06-18,0.010095181236673776,0.0012995095948827294
2020-06-19,0.010141940298507464,0.0013071428571428572
2020-06-20,0.010187292110874201,0.0013144776119402987
2020-06-21,0.010233944562899788,0.0013215565031982944
2020-06-22,0.010280597014925374,0.0013284221748400854
2020-06-23,0.010326993603411515,0.0013348614072494671
2020-06-24,0.01036904051172708,0.0013409594882729213
2020-06-25,0.010413944562899789,0.0013469722814498937
2020-06-26,0.010459275053304906,0.0013530490405117273
2020-06-27,0.010504562899786782,0.0013590618336886996
2020-06-28,0.010557974413646056,0.0013648827292110878
2020-06-29,0.010612622601279318,0.001370298507462687
2020-06-30,0.010676247334754798,0.0013756929637526655
2020-07-01,0.010739765458422175,0.0013810447761194032
2020-07-02,0.010803795309168444,0.0013863752665245206
2020-07-03,0.010869850746268657,0.0013914285714285717
2020-07-04,0.010941300639658848,0.0013962899786780386
2020-07-05,0.011007078891257994,0.0014011087420042645
2020-07-06,0.011071748400852878,0.0014060980810234544
2020-07-07,0.0111327078891258,0.0014108315565031985
2020-07-08,0.011200597014925373,0.0014155437100213221
2020-07-09,0.011275351812366738,0.001420362473347548
2020-07-10,0.011349253731343283,0.001425223880597015
2020-07-11,0.011419680170575692,0.001430042643923241
2020-07-12,0.011498976545842216,0.0014346695095948827
2020-07-13,0.011581023454157782,0.0014391257995735609
2020-07-14,0.011670085287846481,0.00144362473347548
2020-07-15,0.011755863539445629,0.0014481023454157784
2020-07-16,0.011832537313432836,0.0014524307036247336
2020-07-17,0.011913049040511728,0.001456503198294243
2020-07-18,0.011997889125799575,0.0014606183368869937
2020-07-19,0.012070575692963754,0.0014648400852878465
2020-07-20,0.012147014925373135,0.0014692537313432835
2020-07-21,0.012212004264392324,0.0014736460554371001
2020-07-22,0.012280213219616205,0.001478230277185501
2020-07-23,0.012352942430703626,0.0014828144989339018
2020-07-24,0.012422793176972282,0.001487547974413646
2020-07-25,0.012492921108742006,0.0014919402985074626
2020-07-26,0.012566886993603412,0.0014963326226012793
2020-07-27,0.012638443496801707,0.0015006183368869936
2020-07-28,0.012710938166311301,0.0015047121535181236
2020-07-29,0.012789253731343285,0.0015086140724946695
2020-07-30,0.012863795309168445,0.0015124946695095948
2020-07-31,0.012939211087420044,0.001516140724946695
2020-08-01,0.013010639658848615,0.0015199999999999999
2020-08-02,0.013082025586353945,0.0015238805970149252
2020-08-03,0.013155479744136462,0.0015277611940298504
2020-08-04,0.013233539445629,0.0015319402985074623
2020-08-05,0.013304584221748402,0.0015361194029850742
2020-08-06,0.013379125799573562,0.0015403198294243066
2020-08-07,0.013456481876332624,0.0015446908315565027
2020-08-08,0.013533710021321962,0.0015490405117270785
2020-08-09,0.013608699360341153,0.0015533262260127927
2020-08-10,0.013680554371002135,0.0015576972281449888
2020-08-11,0.013749317697228147,0.0015618550106609804
2020-08-12,0.01381675906183369,0.0015660980810234537
2020-08-13,0.013881897654584224,0.0015702132196162043
2020-08-14,0.013945159914712155,0.0015743710021321959
2020-08-15,0.014010554371002133,0.0015784434968017054
2020-08-16,0.014076183368869937,0.0015822814498933897
2020-08-17,0.014144179104477614,0.001585884861407249
2020-08-18,0.01421125799573561,0.0015898081023454154
2020-08-19,0.014276098081023456,0.0015937739872068227
2020-08-20,0.014341641791044779,0.0015978251599147119
2020-08-21,0.014407014925373137,0.0016017484008528783
2020-08-22,0.014472857142857145,0.0016055863539445627
2020-08-23,0.01454125799573561,0.0016099786780383793
2020-08-24,0.014607036247334757,0.001614690831556503
2020-08-25,0.014674243070362476,0.001619424307036247
2020-08-26,0.014742281449893393,0.001624371002132196
2020-08-27,0.01481125799573561,0.001629424307036247
2020-08-28,0.014881449893390195,0.001634690831556503
2020-08-29,0.014960554371002134,0.0016402771855010658
2020-08-30,0.015043176972281452,0.0016455863539445626
2020-08-31,0.015128742004264393,0.001650788912579957
2020-09-01,0.015213390191897656,0.0016559488272921104
2020-09-02,0.015301641791044778,0.0016612153518123663
2020-09-03,0.01538810234541578,0.0016665031982942427
2020-09-04,0.015473432835820897,0.0016717910447761192
2020-09-05,0.015552025586353947,0.0016769509594882727
2020-09-06,0.01562980810234542,0.0016821748400852876
2020-09-07,0.01570976545842218,0.0016878038379530916
2020-09-08,0.01579014925373135,0.0016933049040511725
2020-09-09,0.01586710021321962,0.0016984861407249466
2020-09-10,0.0159443710021322,0.0017035820895522386
2020-09-11,0.016022238805970153,0.0017086567164179103
2020-09-12,0.016099616204690834,0.0017140511727078889
2020-09-13,0.016173752665245206,0.0017196162046908313
2020-09-14,0.016243667377398723,0.0017249466950959487
2020-09-15,0.016314733475479747,0.0017304477611940297
2020-09-16,0.016384648187633265,0.0017359701492537312
2020-09-17,0.01645571428571429,0.0017414072494669507
2020-09-18,0.016525437100213224,0.0017467590618336884
2020-09-19,0.016592345415778257,0.0017519616204690828
2020-09-20,0.016657292110874206,0.0017572707889125796
2020-09-21,0.016722132196162053,0.001762430703624733
2020-09-22,0.016786353944562904,0.001767654584221748
2020-09-23,0.01685078891257996,0.0017729850746268654
2020-09-24,0.016912388059701498,0.0017782515991471212
2020-09-25,0.01697390191897655,0.0017837313432835819
2020-09-26,0.017036460554371007,0.001789189765458422
2020-09-27,0.01709987206823028,0.0017945202558635393
2020-09-28,0.01716652452025587,0.0017997654584221746
2020-09-29,0.017232771855010667,0.0018047334754797439
2020-09-30,0.01729882729211088,0.0018096375266524517
2020-10-01,0.017366353944562905,0.0018147761194029848
2020-10-02,0.0174343710021322,0.0018196375266524517
2020-10-03,0.017500383795309174,0.0018241791044776117
2020-10-04,0.017565031982942438,0.0018285501066098078
2020-10-05,0.01762503198294244,0.0018328144989339017
2020-10-06,0.01768317697228146,0.001837377398720682
2020-10-07,0.017744008528784657,0.001841918976545842
2020-10-08,0.017804029850746278,0.0018463965884861404
2020-10-09,0.017859786780383805,0.001851066098081023
2020-10-10,0.017915266524520267,0.0018559914712153514
2020-10-11,0.01797187633262261,0.0018609808102345413
2020-10-12,0.018030575692963763,0.0018664392324093814
2020-10-13,0.0180905117270789,0.001871513859275053
2020-10-14,0.01815004264392325,0.0018766737739872065
2020-10-15,0.018210597014925382,0.00188183368869936
2020-10-16,0.01827547974413647,0.0018867590618336883
