seed;obj;alpha;beta;mu;sigmaT;sigmaD;x0
85096;4.001249643780294e-06;0.9235331227310106;[0.14607579 0.07017047 0.1010728  0.12887989];[0.01067092 0.0160311  0.01034407 0.00702306];8.708271318331083e-11;6.834493982998669e-13;[0.87090089 0.10037976 0.15023994 0.18050213 0.16268114 0.0060392 0.01579195 0.00726267 0.01699674]
129448;4.543054743036546e-06;0.908654481853019;[0.14508721 0.07176946 0.09923775 0.12645492];[0.0104843  0.0158257  0.01045734 0.00727629];8.708271318331083e-11;6.834493982998669e-13;[0.92752604 0.05312634 0.13373863 0.11600576 0.11205421 0.00567988 0.00770424 0.01410425 0.01686767]
158980;4.767851739651884e-06;0.8951212178426593;[0.14398064 0.07461237 0.10161838 0.12540341];[0.01029208 0.01627767 0.01022931 0.00713582];8.708271318331083e-11;6.834493982998669e-13;[0.84819397 0.12462075 0.16012172 0.06038598 0.06232301 0.01702518 0.01403154 0.00691129 0.00910598]
19654;4.992519229456431e-06;0.9099205082214435;[0.14360961 0.0706958  0.10232104 0.12817597];[0.01001244 0.01562708 0.01041488 0.00709533];8.708271318331083e-11;6.834493982998669e-13;[0.70369804 0.17794224 0.14729514 0.12430399 0.15815461 0.01541519 0.00650479 0.01678688 0.0196105 ]
153925;3.997054619340954e-06;0.9082399190945205;[0.14378232 0.07114315 0.10083332 0.12698024];[0.01036502 0.01606079 0.01033424 0.00726632];8.708271318331083e-11;6.834493982998669e-13;[0.90988967 0.07271063 0.0767363  0.11541566 0.06905421 0.01790013 0.00976128 0.01994803 0.01445585]
67417;4.258825457337853e-06;0.9208405797454533;[0.14651088 0.07195656 0.1013378  0.12760533];[0.01100472 0.01595849 0.01046386 0.00706915];8.708271318331083e-11;6.834493982998669e-13;[0.80840239 0.14881202 0.17385952 0.10613218 0.10382452 0.01850638 0.01021706 0.01016627 0.01727916]
106702;4.166331645038488e-06;0.9088878843474749;[0.1428425  0.06959968 0.10135606 0.12845073];[0.00980812 0.01583892 0.01065017 0.00716784];8.708271318331083e-11;6.834493982998669e-13;[0.89175418 0.12165496 0.12238783 0.17472848 0.11123872 0.01053661 0.01852247 0.01241818 0.00758827]
177985;4.911216063834921e-06;0.9069772499270767;[0.14561352 0.07363444 0.09954279 0.12679943];[0.01095817 0.01612342 0.0105786  0.00683504];8.708271318331083e-11;6.834493982998669e-13;[0.70665089 0.1251684  0.05473508 0.0881348  0.08849501 0.00532669 0.01547697 0.01001416 0.01415518]
59191;4.469895200579709e-06;0.9134983332746404;[0.14619251 0.07352691 0.10211661 0.12591132];[0.01053382 0.01606345 0.009792   0.00681396];8.708271318331083e-11;6.834493982998669e-13;[0.94375115 0.15196352 0.17528805 0.06291568 0.09478286 0.01904948 0.01812184 0.01111044 0.01787082]
154919;4.286116506975338e-06;0.9374256269977277;[0.14903739 0.0695891  0.10294283 0.13241032];[0.01082209 0.01541203 0.01082233 0.00708496];8.708271318331083e-11;6.834493982998669e-13;[0.80618896 0.08169698 0.19564364 0.08429749 0.1211377  0.01669748 0.01398293 0.00841722 0.0171667 ]
74823;4.971901656003105e-06;0.8701137858928977;[0.14443998 0.07718278 0.09880554 0.12256168];[0.01018163 0.01604177 0.01024988 0.0072082 ];8.708271318331083e-11;6.834493982998669e-13;[0.80426695 0.13843639 0.09401606 0.08949005 0.11355713 0.01281036 0.01499231 0.00847206 0.01164955]
54048;4.088351220314921e-06;0.9184042860048757;[0.14691258 0.07192112 0.09976332 0.12632978];[0.01069488 0.01561996 0.01037409 0.00718472];8.708271318331083e-11;6.834493982998669e-13;[0.77159412 0.19601965 0.11791676 0.13662751 0.08225352 0.01976418 0.00923608 0.01274532 0.00819787]
104952;4.608395648264185e-06;0.9019192026919761;[0.14394153 0.07186073 0.09949906 0.12533704];[0.01012983 0.0159042  0.0106022  0.00711577];8.708271318331083e-11;6.834493982998669e-13;[0.90440197 0.08042831 0.05358756 0.17586694 0.19534296 0.01894002 0.0191267  0.01819489 0.009985  ]
136169;4.929704374783792e-06;0.9033249119110426;[0.14289506 0.07128758 0.10247716 0.12758253];[0.00989108 0.01571945 0.01034535 0.0071863 ];8.708271318331083e-11;6.834493982998669e-13;[0.92354895 0.19456135 0.0541764  0.08807204 0.10415625 0.0058043 0.0104165  0.00734674 0.00926448]
119145;4.271642120492517e-06;0.9130961669488958;[0.14574011 0.07180595 0.10052174 0.12667649];[0.01026843 0.01556736 0.01001747 0.0067304 ];8.708271318331083e-11;6.834493982998669e-13;[0.81862666 0.17215355 0.0944862  0.08966085 0.18103617 0.01642697 0.00591773 0.01295494 0.01180435]
126779;4.506169495158325e-06;0.9142646397969459;[0.14512864 0.07111773 0.10126519 0.12789575];[0.0099652  0.01577557 0.01006842 0.00724977];8.708271318331083e-11;6.834493982998669e-13;[0.85705319 0.18114178 0.0813221  0.06322666 0.14583267 0.01443059 0.00647621 0.01181046 0.01999052]
136215;5.005604123668685e-06;0.9027413070238258;[0.14465064 0.0733788  0.10166024 0.12644308];[0.01032964 0.01551878 0.01005765 0.00692181];8.708271318331083e-11;6.834493982998669e-13;[0.84404828 0.10550657 0.16461768 0.13538931 0.14504057 0.0087818 0.01545402 0.01257605 0.01265773]
193378;4.863424657425145e-06;0.9073948043982428;[0.14590367 0.07345098 0.10012223 0.12520567];[0.01078489 0.01572617 0.00999428 0.00714883];8.708271318331083e-11;6.834493982998669e-13;[0.91719151 0.13255351 0.1563913  0.18997831 0.07557734 0.00761331 0.00748061 0.00651106 0.01359086]
152714;5.2162381453322935e-06;0.8412065887847244;[0.14262217 0.07914633 0.10260026 0.12560983];[0.00864229 0.01636534 0.00992227 0.00695838];8.708271318331083e-11;6.834493982998669e-13;[0.76748775 0.16359899 0.06582681 0.12962177 0.08605654 0.00906505 0.01100026 0.01838817 0.01617648]
81451;4.478491131512219e-06;0.9018594058074024;[0.14411286 0.07247671 0.10050056 0.12576203];[0.00989911 0.01573236 0.00980794 0.00681736];8.708271318331083e-11;6.834493982998669e-13;[0.895921   0.10881413 0.11338008 0.17633541 0.09857749 0.01640373 0.00578849 0.00640059 0.01287336]
140671;4.091971580397704e-06;0.9070151624232732;[0.14538741 0.07265673 0.09935662 0.12568721];[0.01052102 0.01557907 0.00989204 0.0069994 ];8.708271318331083e-11;6.834493982998669e-13;[0.82618622 0.05206562 0.06180278 0.14656681 0.06400789 0.01571187 0.01251585 0.01494603 0.01083392]
169438;4.373895531867382e-06;0.8624887661348348;[0.14259979 0.07642351 0.09965732 0.12499095];[0.00969853 0.01597682 0.01058979 0.00716477];8.708271318331083e-11;6.834493982998669e-13;[0.89103452 0.17560367 0.07032176 0.19546724 0.15897802 0.00628498 0.01563887 0.01001303 0.00549644]
79201;4.778050326011849e-06;0.8676095581152877;[0.14286064 0.07610373 0.10108371 0.1252269 ];[0.00941083 0.01607766 0.00965596 0.00687089];8.708271318331083e-11;6.834493982998669e-13;[0.85973682 0.09843933 0.1308243  0.13328942 0.18620637 0.00957995 0.01621704 0.00999173 0.01146062]
176946;4.586480795981814e-06;0.9171993908309289;[0.14550469 0.07156377 0.10170196 0.12770127];[0.0107749  0.01606743 0.01021077 0.00683754];8.708271318331083e-11;6.834493982998669e-13;[0.94469712 0.14816333 0.09808316 0.14364681 0.12582417 0.01291031 0.01612212 0.01607498 0.01312946]
77448;4.515297069021685e-06;0.9079600935418795;[0.14452978 0.07202215 0.10052539 0.12743375];[0.01040843 0.01570227 0.01040747 0.00687279];8.708271318331083e-11;6.834493982998669e-13;[0.80419764 0.07773809 0.05155488 0.19022796 0.14177505 0.00874127 0.01726802 0.00888845 0.00623742]
26356;4.3209718830386285e-06;0.9012582637187827;[0.14492885 0.07315379 0.09933539 0.12574647];[0.01003909 0.01567793 0.01022604 0.00714304];8.708271318331083e-11;6.834493982998669e-13;[0.9040508  0.18749588 0.12836519 0.19823422 0.09085586 0.01239944 0.00768713 0.0131883  0.00695694]
86119;4.687797713185592e-06;0.8568335628429378;[0.14343243 0.07777609 0.09940057 0.12371785];[0.00927596 0.01638351 0.01002148 0.00678167];8.708271318331083e-11;6.834493982998669e-13;[0.70673751 0.08997448 0.19679962 0.16531878 0.14040899 0.00782694 0.01966053 0.01501114 0.00644339]
98470;4.013536913571478e-06;0.9043242229784779;[0.14572616 0.07403358 0.09993545 0.12419572];[0.01040976 0.01601061 0.00968614 0.00683914];8.708271318331083e-11;6.834493982998669e-13;[0.81657909 0.16123758 0.10190327 0.0535374  0.08946522 0.01636917 0.01039417 0.01099952 0.01619464]
108968;4.491363791525201e-06;0.9211596428509826;[0.14558609 0.06975972 0.10066584 0.12863763];[0.01020276 0.01574431 0.01071904 0.00735312];8.708271318331083e-11;6.834493982998669e-13;[0.73491528 0.05839872 0.17336126 0.06704274 0.19314455 0.00998657 0.01341851 0.00876409 0.01576928]
10378;3.964030693769533e-06;0.8845932621248714;[0.14428424 0.07625187 0.10075119 0.12357258];[0.01038562 0.0162036  0.00995657 0.00688816];8.708271318331083e-11;6.834493982998669e-13;[0.72910155 0.15384906 0.06285398 0.17109503 0.10696547 0.01936137 0.01810359 0.0164584  0.01039546]
35743;4.324467270919626e-06;0.924598373352569;[0.14746432 0.0715631  0.1010549  0.12830512];[0.01116174 0.01572891 0.01022132 0.00701449];8.708271318331083e-11;6.834493982998669e-13;[0.84360225 0.19024221 0.14079181 0.1018693  0.09792306 0.00653414 0.0120876  0.01621849 0.00705202]
20251;4.699442468813713e-06;0.8983602903755589;[0.14379115 0.07259506 0.09948144 0.12525307];[0.00999909 0.01587057 0.01073287 0.00732088];8.708271318331083e-11;6.834493982998669e-13;[0.70244145 0.15144063 0.0538935  0.09935282 0.10904642 0.01418201 0.01840146 0.01131365 0.01323191]
141387;4.801452254235533e-06;0.9123293593696562;[0.14448247 0.07109153 0.10168281 0.12775529];[0.01037379 0.01585307 0.01053609 0.00718313];8.708271318331083e-11;6.834493982998669e-13;[0.87560992 0.07203734 0.16015115 0.19773822 0.14651884 0.01872073 0.01034094 0.00753671 0.00803986]
159814;4.152473663189861e-06;0.862326157150788;[0.14278275 0.07710763 0.10109256 0.12428603];[0.00931399 0.01620977 0.0101066  0.00682825];8.708271318331083e-11;6.834493982998669e-13;[0.76372328 0.13874497 0.19185779 0.10444214 0.06099069 0.01458831 0.00973822 0.00929663 0.01310464]
179886;3.721161724804282e-06;0.892514095507402;[0.14272158 0.07279547 0.10198059 0.12610233];[0.00956248 0.01594222 0.01028457 0.00708188];8.708271318331083e-11;6.834493982998669e-13;[0.91404535 0.07600285 0.06437171 0.05379427 0.06618069 0.00697422 0.01680561 0.01830956 0.01726999]
97824;3.996310681971713e-06;0.9020043817739504;[0.14340181 0.07191667 0.1014288  0.12698209];[0.01031516 0.01591858 0.01033723 0.00708637];8.708271318331083e-11;6.834493982998669e-13;[0.75015986 0.19663513 0.1668978  0.17015975 0.11547462 0.0140605 0.00807658 0.00907758 0.01767609]
19404;4.11036865113439e-06;0.8880552190088413;[0.14305279 0.07366223 0.10021457 0.12551851];[0.00965364 0.0159572  0.0105262  0.00697884];8.708271318331083e-11;6.834493982998669e-13;[0.80631057 0.15852792 0.18798713 0.08248068 0.12866314 0.01109702 0.01974677 0.00987087 0.01852374]
194075;3.852320715802558e-06;0.9072486665562538;[0.14398566 0.07170528 0.10165594 0.127577  ];[0.01012941 0.01559539 0.0104745  0.00694869];8.708271318331083e-11;6.834493982998669e-13;[0.91033037 0.08771407 0.07741738 0.1235591  0.11028053 0.01688834 0.01979316 0.01781494 0.01082982]
12647;4.76825986406394e-06;0.8883086407247699;[0.14476276 0.07531542 0.09999602 0.12397204];[0.01011716 0.01586856 0.00962789 0.00698361];8.708271318331083e-11;6.834493982998669e-13;[0.82020383 0.19934822 0.13359903 0.18277931 0.1057529  0.00831615 0.01635028 0.01199244 0.00840084]
94832;4.3490279056681795e-06;0.8805820721788769;[0.14207496 0.07395721 0.10079903 0.1248858 ];[0.00958376 0.0165007  0.01038086 0.00702229];8.708271318331083e-11;6.834493982998669e-13;[0.93167422 0.08225954 0.08746829 0.08625074 0.15691654 0.00759789 0.01299332 0.01573806 0.01448137]
141724;4.277882928842234e-06;0.8992546840820066;[0.14622246 0.07438212 0.09705274 0.12306374];[0.01026721 0.01543658 0.01022468 0.0071429 ];8.708271318331083e-11;6.834493982998669e-13;[0.77337331 0.14548672 0.13913116 0.07814251 0.15801332 0.00638832 0.00980712 0.01936649 0.0184186 ]
134123;4.861791520256218e-06;0.9013879989420267;[0.14421958 0.07329293 0.10115206 0.12593539];[0.010222   0.01618493 0.01009228 0.00681657];8.708271318331083e-11;6.834493982998669e-13;[0.83732483 0.13933683 0.06100444 0.09915959 0.13806552 0.01742834 0.01559528 0.00587057 0.01093419]
47682;3.915693343053512e-06;0.8852147122441962;[0.14433649 0.07521541 0.09866506 0.1237294 ];[0.00967917 0.01581164 0.0102848  0.00728966];8.708271318331083e-11;6.834493982998669e-13;[0.72033411 0.12491862 0.11713754 0.10085037 0.15165755 0.01129725 0.01994257 0.01062396 0.01498711]
180660;4.284736601425202e-06;0.9013541470731912;[0.14415058 0.07164332 0.09905342 0.12545115];[0.00986344 0.01561949 0.01018112 0.00725679];8.708271318331083e-11;6.834493982998669e-13;[0.79407769 0.17341798 0.14782172 0.18852652 0.17391168 0.01872325 0.01001835 0.00620007 0.01951404]
170090;4.82323335925355e-06;0.9284362867083041;[0.14689358 0.07026305 0.10308939 0.13012102];[0.0108472  0.01579118 0.0103831  0.00675547];8.708271318331083e-11;6.834493982998669e-13;[0.87233027 0.1375945  0.1245482  0.09671205 0.14498455 0.01611035 0.00597224 0.01373659 0.01706859]
64343;4.44369204981823e-06;0.9224593540560144;[0.14633249 0.0713376  0.10237057 0.12839529];[0.01071014 0.01609175 0.01010837 0.0070116 ];8.708271318331083e-11;6.834493982998669e-13;[0.74834704 0.10987278 0.17839543 0.1600237  0.06362308 0.01035096 0.01238706 0.00977511 0.00883628]
168589;4.095517964369243e-06;0.907753146925145;[0.14460707 0.07308053 0.10221731 0.12753424];[0.01046788 0.01621589 0.00989067 0.00685587];8.708271318331083e-11;6.834493982998669e-13;[0.78211815 0.14025107 0.05728651 0.14393316 0.1525539  0.01351189 0.00913383 0.0195654  0.01674523]
114410;3.889604964875646e-06;0.905096036310351;[0.14352829 0.07174533 0.10105267 0.12650157];[0.01033221 0.01596653 0.01046784 0.00713389];8.708271318331083e-11;6.834493982998669e-13;[0.94870274 0.17429444 0.09540518 0.13551281 0.15000933 0.01463114 0.01433159 0.01693196 0.01911194]
215240;4.033162353171758e-06;0.860162018389419;[0.14321739 0.07791421 0.10144649 0.1243779 ];[0.00957156 0.01604312 0.00996873 0.00682076];8.708271318331083e-11;6.834493982998669e-13;[0.71982685 0.08846792 0.18858746 0.14865598 0.15853924 0.01732696 0.0171399  0.00693186 0.00568929]
153299;4.812182715268419e-06;0.8919280183447473;[0.1425963  0.0723087  0.09968574 0.12517034];[0.00995017 0.01591472 0.01088596 0.00752721];8.708271318331083e-11;6.834493982998669e-13;[0.8548211  0.15108049 0.17035715 0.09883627 0.17985457 0.00741808 0.01634745 0.01036346 0.00859409]
207891;4.453993388443879e-06;0.9061883398000767;[0.14406557 0.07213865 0.10147931 0.12791922];[0.00989458 0.0162012  0.01022121 0.00701406];8.708271318331083e-11;6.834493982998669e-13;[0.9424546  0.1242353  0.07687575 0.11466353 0.18864203 0.01312977 0.00590309 0.0129439  0.01516834]
170507;3.7221969754347395e-06;0.9154927402019745;[0.1468899  0.07331109 0.10071061 0.12652603];[0.01074915 0.01571471 0.01018958 0.00692896];8.708271318331083e-11;6.834493982998669e-13;[0.88317516 0.17562066 0.19409444 0.12005381 0.13607301 0.01379238 0.00846796 0.00619487 0.01604799]
150056;4.3103556509244985e-06;0.9172807747392451;[0.1460107  0.07211476 0.10194613 0.12795814];[0.01062681 0.01576234 0.01000975 0.00671786];8.708271318331083e-11;6.834493982998669e-13;[0.89225611 0.11260532 0.15580894 0.15043945 0.07172928 0.00715108 0.01976165 0.00595444 0.00623904]
197183;3.861918025079465e-06;0.908405302613084;[0.14486822 0.07213896 0.10011474 0.12589551];[0.01059274 0.01591328 0.01059467 0.00718692];8.708271318331083e-11;6.834493982998669e-13;[0.89137102 0.07357657 0.08669589 0.08325538 0.0532124  0.01959232 0.01117912 0.0092652  0.0166152 ]
104512;4.842864558204884e-06;0.8940154883547957;[0.14313903 0.07336317 0.10096641 0.12557435];[0.00993042 0.0165011  0.0105833  0.00704085];8.708271318331083e-11;6.834493982998669e-13;[0.90634336 0.1672558  0.06569716 0.07487382 0.13276818 0.01060897 0.01818183 0.0154905  0.01528503]
9989;4.184844188493328e-06;0.9160562639988061;[0.1455088  0.07229407 0.10282717 0.1281003 ];[0.01023423 0.01594309 0.01027252 0.00689217];8.708271318331083e-11;6.834493982998669e-13;[0.79421787 0.14464098 0.18809738 0.17585568 0.11893024 0.00675053 0.00826705 0.00956502 0.01304734]
192210;5.127339751945526e-06;0.8305660990618666;[0.14442823 0.08166453 0.1016712  0.12453564];[0.00886293 0.01618133 0.00974561 0.00677442];8.708271318331083e-11;6.834493982998669e-13;[0.83073453 0.08671031 0.064824   0.05856783 0.13238914 0.00712197 0.01454117 0.01927537 0.00530429]
96906;4.368199973198888e-06;0.8988402043695423;[0.14419006 0.07250919 0.09881342 0.12569616];[0.01016903 0.0158334  0.01033676 0.00700891];8.708271318331083e-11;6.834493982998669e-13;[0.82649153 0.06729033 0.12848018 0.08860712 0.07286611 0.01300542 0.01112916 0.01929126 0.01634037]
184708;5.152381205264348e-06;0.8891383791514027;[0.14300907 0.07422829 0.10164987 0.12606771];[0.00978358 0.01610357 0.0100026  0.00702675];8.708271318331083e-11;6.834493982998669e-13;[0.78365645 0.1853458  0.15453392 0.06636708 0.13621741 0.01975994 0.00723869 0.0091937  0.0172707 ]
70926;4.293278057834837e-06;0.8997005736059652;[0.14489112 0.07384925 0.10017352 0.1253626 ];[0.0101936  0.01589289 0.00988007 0.00678596];8.708271318331083e-11;6.834493982998669e-13;[0.86309488 0.07258469 0.05175061 0.05488651 0.10269876 0.01314003 0.01096783 0.01950415 0.0171046 ]
112684;4.582333377300672e-06;0.8932777176086014;[0.14516496 0.07464628 0.09919195 0.12344189];[0.00973631 0.01553584 0.00985004 0.00675176];8.708271318331083e-11;6.834493982998669e-13;[0.8947969  0.11366966 0.0654939  0.07961174 0.09816098 0.01277405 0.01736383 0.01446298 0.00921778]
94598;4.714088140242684e-06;0.8913716817762528;[0.14351693 0.07362151 0.09941485 0.12363752];[0.00986703 0.0160524  0.0105658  0.00738621];8.708271318331083e-11;6.834493982998669e-13;[0.93368071 0.18298338 0.14561423 0.19385099 0.06140708 0.01711641 0.01051534 0.00999859 0.01245158]
24980;3.995708129766331e-06;0.9133788518012267;[0.14620835 0.07166597 0.09842193 0.12583427];[0.01036781 0.01558926 0.01048878 0.00724188];8.708271318331083e-11;6.834493982998669e-13;[0.77285269 0.15564837 0.09969889 0.09310569 0.10586632 0.01855603 0.01128361 0.01768712 0.01227231]
97967;4.509868522178477e-06;0.8643773496179402;[0.14412106 0.07740762 0.09831089 0.12210285];[0.0098046  0.01598965 0.00998007 0.00694762];8.708271318331083e-11;6.834493982998669e-13;[0.76594007 0.08175543 0.189154   0.0654924  0.11345097 0.01824608 0.01846532 0.01958646 0.00613262]
82674;4.413913508634901e-06;0.893103813035382;[0.14426162 0.07330742 0.09721984 0.12396436];[0.01025365 0.01592318 0.01024599 0.00743012];8.708271318331083e-11;6.834493982998669e-13;[0.84819867 0.18637258 0.15223141 0.08560806 0.05085968 0.01861512 0.00988244 0.00718434 0.01926055]
23926;4.2301671524916976e-06;0.8401288924607229;[0.14388522 0.07971466 0.10054668 0.12478254];[0.0088514  0.01574059 0.00981735 0.00682841];8.708271318331083e-11;6.834493982998669e-13;[0.94713793 0.19868494 0.12332401 0.1160085  0.19065309 0.0113551 0.00562196 0.01281969 0.01508809]
91473;4.308425710647356e-06;0.8979907213720706;[0.14525784 0.07366025 0.09780307 0.12307247];[0.01071079 0.01567451 0.01007081 0.00714348];8.708271318331083e-11;6.834493982998669e-13;[0.78360884 0.14467988 0.10229706 0.15928756 0.19142583 0.00819625 0.01624426 0.015925   0.01133801]
23202;3.947970268848421e-06;0.9037611103792473;[0.14275412 0.07108827 0.10208038 0.12787416];[0.00986007 0.01601726 0.01027043 0.00690101];8.708271318331083e-11;6.834493982998669e-13;[0.81864377 0.17154413 0.1626879  0.09328772 0.0780052  0.01313879 0.01596571 0.01303969 0.01207406]
3057;4.254748261570077e-06;0.9228652327253882;[0.14560548 0.06922394 0.10087478 0.12896303];[0.01032577 0.01547712 0.0105071  0.00718148];8.708271318331083e-11;6.834493982998669e-13;[0.91021955 0.12679985 0.14195126 0.10129374 0.0782767  0.01732182 0.00650272 0.01060759 0.00987182]
73775;4.650156782191056e-06;0.8701006303336016;[0.14305754 0.07646984 0.10055124 0.12499084];[0.00980748 0.01629177 0.01021833 0.00699083];8.708271318331083e-11;6.834493982998669e-13;[0.88223026 0.12410292 0.19903417 0.07575025 0.19964729 0.01205317 0.01357831 0.01017571 0.00596762]
35147;4.192141731160074e-06;0.8846693535070153;[0.14373024 0.07495051 0.10073697 0.12284886];[0.00947825 0.01571685 0.0096763  0.00708758];8.708271318331083e-11;6.834493982998669e-13;[0.91830914 0.14593034 0.13291787 0.12402436 0.19610031 0.01342119 0.01301404 0.01584312 0.00883022]
94882;4.819730511460896e-06;0.8842143159047594;[0.14206127 0.073411   0.10166638 0.1255378 ];[0.00938718 0.01608644 0.0102212  0.00696577];8.708271318331083e-11;6.834493982998669e-13;[0.85214055 0.05709989 0.15209904 0.08825291 0.06118729 0.00931101 0.00995035 0.01483868 0.01792176]
118004;4.479252583191553e-06;0.8916679618561745;[0.14294512 0.07316913 0.10149514 0.12625818];[0.00975035 0.01569049 0.01040161 0.00688651];8.708271318331083e-11;6.834493982998669e-13;[0.82757514 0.12059015 0.15820688 0.12705947 0.06237038 0.01979037 0.01425103 0.01539828 0.0094297 ]
75960;4.397032459202712e-06;0.8757501685331812;[0.14499074 0.07647744 0.097324   0.12326587];[0.00960256 0.01579724 0.010053   0.0070396 ];8.708271318331083e-11;6.834493982998669e-13;[0.9193942  0.19135593 0.06137934 0.1973377  0.1600714  0.00998483 0.00679406 0.01545986 0.01052959]
57964;3.974083431292664e-06;0.8919308500960713;[0.14470311 0.07521027 0.1003077  0.12441672];[0.01017293 0.01596653 0.00987315 0.00697649];8.708271318331083e-11;6.834493982998669e-13;[0.81333566 0.11857123 0.10986117 0.19970362 0.18097558 0.01857959 0.01825306 0.01692869 0.00829986]
104738;4.758009964785483e-06;0.8811559549787703;[0.14396509 0.07564225 0.1004646  0.12474443];[0.00961185 0.01571804 0.0100609  0.0066749 ];8.708271318331083e-11;6.834493982998669e-13;[0.79000567 0.13219681 0.07011445 0.14775405 0.15047531 0.011605 0.0125219  0.01946762 0.01490315]
71938;4.28309622224901e-06;0.9123706355877911;[0.14521875 0.07204794 0.10169741 0.12775006];[0.01022629 0.0155866  0.0102279  0.00690687];8.708271318331083e-11;6.834493982998669e-13;[0.9137274  0.16386915 0.06136222 0.05653167 0.17924538 0.00732464 0.017358   0.0172598  0.01897473]
54708;4.610099720860329e-06;0.8900306467447501;[0.14329544 0.07335734 0.09909208 0.12545494];[0.01005257 0.01610806 0.01032717 0.0069769 ];8.708271318331083e-11;6.834493982998669e-13;[0.79760316 0.11126498 0.18570312 0.09692527 0.10223695 0.00946163 0.00866582 0.0176336  0.01181838]
61956;4.214937420996534e-06;0.9343308937532762;[0.14623939 0.06893457 0.1065538  0.13265808];[0.01099364 0.01579106 0.01074278 0.00710476];8.708271318331083e-11;6.834493982998669e-13;[0.94503438 0.06317455 0.16879109 0.09042111 0.07867913 0.01879466 0.01949714 0.01636263 0.01302669]
100517;4.256452994116873e-06;0.8986338741535487;[0.14407025 0.07286892 0.1009127  0.12607999];[0.00983264 0.01560267 0.01037193 0.00705033];8.708271318331083e-11;6.834493982998669e-13;[0.92610366 0.12012556 0.05076097 0.10557618 0.0898132  0.01465426 0.00561266 0.01005451 0.00520206]
124411;3.881518053201143e-06;0.9122772535470751;[0.14321595 0.07001197 0.10269469 0.1282038 ];[0.00999816 0.01615825 0.01062933 0.00715996];8.708271318331083e-11;6.834493982998669e-13;[0.89309415 0.08058718 0.11122882 0.17429111 0.17755905 0.00823434 0.0168589  0.01819747 0.01363591]
71700;4.371910388752043e-06;0.9108103843990218;[0.14540967 0.07267247 0.10037408 0.12658181];[0.01083415 0.01591839 0.01051664 0.00728926];8.708271318331083e-11;6.834493982998669e-13;[0.8476578  0.13020675 0.15946419 0.09871867 0.11836436 0.01083336 0.01471061 0.01458682 0.01893062]
95992;4.705608045441078e-06;0.9080929081484264;[0.14368719 0.07082992 0.1011575  0.12684861];[0.00998453 0.01584453 0.0104602  0.00727738];8.708271318331083e-11;6.834493982998669e-13;[0.74520924 0.12606942 0.09363596 0.10750537 0.14441399 0.01842124 0.01325534 0.01323162 0.01799721]
74954;4.4295206919421525e-06;0.9229763652317399;[0.1462952  0.07081529 0.10274567 0.12943613];[0.0105416  0.01554492 0.0102362  0.00697975];8.708271318331083e-11;6.834493982998669e-13;[0.80319538 0.09472911 0.14687652 0.07885015 0.15714799 0.00694166 0.01622714 0.00801702 0.01730907]
86427;4.2947559695586095e-06;0.9035504709866555;[0.14284102 0.07115794 0.10168911 0.12732839];[0.00981684 0.01609046 0.01044904 0.00719288];8.708271318331083e-11;6.834493982998669e-13;[0.82973991 0.1112923  0.10916906 0.11785453 0.14838056 0.01786014 0.00514125 0.00963541 0.0182075 ]
36088;4.173795571432305e-06;0.9197444156243445;[0.14559371 0.07085228 0.10259052 0.12860353];[0.01043808 0.01562496 0.0101772  0.00704988];8.708271318331083e-11;6.834493982998669e-13;[0.88912506 0.19176258 0.12249958 0.05277055 0.17315166 0.01230284 0.01191683 0.01765354 0.01513064]
82416;4.903537561437213e-06;0.9016040251829177;[0.14350072 0.07195458 0.10173185 0.12678216];[0.01019725 0.01560036 0.01024682 0.00719638];8.708271318331083e-11;6.834493982998669e-13;[0.94365392 0.17571374 0.0831309  0.18448507 0.07441232 0.01497757 0.0054351  0.00775642 0.01335991]
13220;4.56993685728938e-06;0.9078721539316266;[0.14440976 0.07225486 0.10143846 0.12653162];[0.01025277 0.01600363 0.01024012 0.00715638];8.708271318331083e-11;6.834493982998669e-13;[0.72500222 0.15210148 0.10806123 0.08774954 0.17847356 0.01937705 0.01398083 0.0105229  0.01083189]
2317;4.498402602272431e-06;0.9084154456342136;[0.14283857 0.06974763 0.10150091 0.12852001];[0.00970889 0.01596416 0.01050351 0.00733341];8.708271318331083e-11;6.834493982998669e-13;[0.89747214 0.09062987 0.18125208 0.18125447 0.09762638 0.0078296 0.01096861 0.01601535 0.01714693]
76334;4.135782277184603e-06;0.9007399086089009;[0.1427216  0.07189281 0.10257895 0.12890399];[0.00986411 0.01604146 0.01008302 0.00698834];8.708271318331083e-11;6.834493982998669e-13;[0.78613954 0.13822882 0.12798313 0.11833305 0.16538225 0.01749347 0.01933165 0.01339989 0.01593999]
13174;4.675800542653686e-06;0.9183567650850946;[0.1460874  0.07116446 0.10076611 0.12758495];[0.01054288 0.01574191 0.01028126 0.00700032];8.708271318331083e-11;6.834493982998669e-13;[0.70043206 0.11490398 0.13942487 0.05219521 0.15967009 0.00862777 0.01096911 0.01269579 0.00641567]
99797;3.989767962422357e-06;0.8884432974961921;[0.142356   0.07254092 0.09967395 0.12553868];[0.00989982 0.01597938 0.01054095 0.00728821];8.708271318331083e-11;6.834493982998669e-13;[0.7687996  0.07039974 0.11856421 0.15623866 0.13791482 0.00958986 0.00645953 0.01953693 0.00520578]
